closure_time,censor,500m_5yr_churn,Business type,Rate type (STD),cluster,ft to downtown,is_downtown_association,is_home_occ,sq(ft),start_year,type,zone,zone_type
1760.0,1,0.081081081081081,Home Occupation,General Service,4,9550.03693201325,0,1,5760.364894525611,2006,Service,R-1,Residential
8878.0,1,0.0,Printing/Publishing,Professional Service,0,3407.108629665834,0,0,100987.56764073543,1994,Service,C,Commercial
3686.0,1,0.0,Retail,General Retailer,1,14320.2039539615,0,0,6077.580498160137,1996,Retail,R-1,Residential
5846.0,1,0.0,Photographic Studio/Portrait,Downtown Association,0,0.0,1,0,16361.353500242987,2003,Downtown Association,C,Commercial
227.0,0,0.2818181818181818,Entertainment,General Service,4,9976.347469771734,0,0,328946.8744863285,2025,Service,C,Commercial
1219.0,1,0.53125,Rental- Residential,Residential Rental,4,11998.858874022842,0,0,9738.338052821791,2022,Rental,R-1,Residential
3927.0,0,0.2375,Retail,General Retailer,1,8546.760551363552,0,0,10545.09458446518,2015,Retail,M,Manufacturing
894.0,1,0.296875,Home Occupation,General Retailer,3,3193.945872689836,0,1,7769.872043183833,2011,Retail,R-1,Residential
4228.0,1,0.16,Advertising,General Service,2,12125.883246372674,0,0,142719.55658293143,2008,Service,C,Commercial
1566.0,1,0.2670157068062827,Beauty Salon,General Service,0,112.76546755874016,0,0,9019.432868087051,2019,Service,C,Commercial
2110.0,1,0.0,Apparel/Accessories,General Retailer,2,7333.624692857745,0,0,24889.35205670028,2001,Retail,C,Commercial
1607.0,1,0.2505263157894737,Home Occupation,Massage Therapist,0,449.4744973247865,0,1,5980.688063465659,2015,Service,O,Office
1367.0,1,0.1590909090909091,Massage,General Service,0,965.2313494832072,0,0,56948.54208310972,2008,Service,O,Office
1320.0,0,0.2123893805309734,Medical Services,Professional Service,3,3648.8153924512862,0,0,59057.2108051365,2022,Service,R-4,Residential
10814.0,0,0.0,"Computers, Sales & Service",General Service,1,8436.991510342159,0,0,13097.019641393004,1996,Service,M,Manufacturing
142.0,1,0.2844036697247706,Home Occupation,General Retailer,3,5671.880128399295,0,1,9231.974301855533,2017,Retail,R-4,Residential
1148.0,1,0.242798353909465,Counseling,Professional Service,0,914.4178405092714,0,0,4924.912337962522,2016,Service,O,Office
1380.0,1,0.0,Retail,General Retailer,0,4884.561593293666,0,0,7190.355462233589,2002,Retail,R-1,Residential
291.0,1,0.3496932515337423,Retail,General Retailer,0,3605.373749746985,0,0,50429.21980668665,2016,Retail,C,Commercial
745.0,0,0.2275132275132275,Business/ Services/ Professions,General Service,1,7800.939344842769,0,0,90013.16291667406,2024,Service,O,Office
2597.0,1,0.3061224489795918,Home Occupation,General Service,4,10502.080607084969,0,1,7527.571429544757,2010,Service,R-1,Residential
540.0,1,0.2264150943396226,Home Occupation,Professional Service,3,5336.071752437731,0,1,44361.76834777495,2023,Service,R-4,Residential
6716.0,0,0.134453781512605,Business/ Services/ Professions,Downtown Association,0,0.0,1,0,10822.145257174545,2007,Downtown Association,C,Commercial
9070.0,1,0.0,Home Occupation,Professional Service,0,3283.836622784081,0,1,7500.281021245415,1993,Service,R-1,Residential
5725.0,0,0.1578947368421052,Pharmacy,General Service,1,14062.447583024772,0,0,100612.10081027824,2010,Service,BP,Commercial
244.0,1,0.2241379310344827,Consultant,General Service,2,12873.812385833986,0,0,97915.6927441578,2010,Service,C,Commercial
6181.0,0,0.0919540229885057,Miscellaneous Business,Professional Service,1,9579.082832893837,0,0,113632.1974917182,2009,Service,C,Commercial
4074.0,1,0.0,Recreational Services,General Service,3,5013.448292097158,0,0,24289.723920006192,1999,Service,R-4,Residential
